OBJECTID,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,GEOID10_1,PICK_GEOID,BGPICKLIST,BGTITLE,GEOID_NUM,POPDENS,SWTORD,V_PER_SQMI,P_PER_SQMI,D_PER_SQMI,AREA_SQMI,LUDIVERSE,R_AVGYR,PCTSSI,POP,PCTLATINO,PCTWH_NL,PCTBLK_NL,PCTASIANNL,PCTOTHERNL,RE_DIVERSE,MEDAGE,PctUnd18,Pct65Up,MHI,PCI,PCTRENT,PCTUNFRENT,PCTUNFOWN,PCTC30,PCTDRALONE,PCTBIKEWK,PCTWLKWK,PCTWRKHM,PCTR_GRCR,PCTR_PHARM,PCTR_BANK,PCTR_BUSST,DAYTRIPS,EVETRIPS,TREE_PCT,IMP_PCT,id,AREA_SQMI_,CVALPSM_12,RVALPSM_12,ACODEV_12,WCODEV_12,RCODEV_12
105,63,1802,3,370630000000,Block Group 3,370630000000,87 - 370630018023,"87 - Tract: 001802, BG: 3",87 - 0018023,370630000000,2271,16.7,47,182,18,0.95813,24.3,1980,7.1,2176,13.4,9,74.4,0.9,2.3,42,31,32.7,7.7,36217.00,16161.00,33.7,57,54.7000008,24.8,76.1,0,1.2,2.4,7.5,0,0,53.4,109,32,59.2,25.1,105,0.95813,165591.00,187831.00,0.3,2.3,0.6
106,63,1002,3,370630000000,Block Group 3,370630000000,35 - 370630010023,"35 - Tract: 001002, BG: 3",35 - 0010023,370630000000,6580,49.5,210,832,148,0.12857,27.6,1945,0,846,38.9,9,50.6,0,1.5,58.5,29.9,29.3,5,29904.00,13168.00,76.5,29.8,73.6999969,66.1,44.8,0,0,4.5,10,22.7,0,100,135,21,57.1,32.9,106,0.12857,0.00,135951.00,2.2,7.3,2.7
107,63,1002,2,370630000000,Block Group 2,370630000000,34 - 370630010022,"34 - Tract: 001002, BG: 2",34 - 0010022,370630000000,2264,28.2,55,351,63,0.34764,41.7,1963,14.2,787,27.6,9.8,61.2,0,1.4,54,30.2,28.1,8,18050.00,11560.00,82.9,56,0,31.2,58.6,0,0,20.7,18.5,8,0,60,135,21,48.1,31.6,107,0.34764,827065.00,0.00,0.6,1.2,1.2
108,63,1709,2,370630000000,Block Group 2,370630000000,73 - 370630017092,"73 - Tract: 001709, BG: 2",73 - 0017092,370630000000,2777,27.5,54,111,43,0.35111,33.1,1978,11.2,975,5.1,0.5,93.2,0,1.1,12.8,28.1,28.9,9.9,35579.00,11133.00,73.5,40.3,16.7000008,20.5,72.3,0,0,0,2.3,0,0,99.7,53,12,68,21.4,108,0.35111,0.00,90318.00,1.4,3.7,1.1
109,63,2018,1,370630000000,Block Group 1,370630000000,119 - 370630020181,"119 - Tract: 002018, BG: 1",119 - 0020181,370630000000,1278,8.1,1,19,1,1.82144,7.3,1994,0,2327,4.6,83.1,7.3,3.7,1.4,30.1,58,12.7,31.9,83333.00,67628.00,34.2,46.8,33.2999992,17.1,81.5,0,0,3.7,0,37.7,40.6,0.4,53,11,61.1,25.1,109,1.82144,20280.00,3872935.00,0,0,2.7
110,63,200,1,370630000000,Block Group 1,370630000000,5 - 370630002001,"5 - Tract: 000200, BG: 1",5 - 0002001,370630000000,1206,39.6,27,198,35,0.71368,53.8,1951,17.7,861,13.5,34,49.1,0.2,3.1,62.5,38.7,21,7.3,31563.00,20785.00,65.5,61.5,45.5,40.1,74.1,0,8.7,9.5,42.2,2.4,37.9,86.9,186,44,52.5,34.7,110,0.71368,0.00,474515.00,1.3,2.4,0.6
111,63,2009,1,370630000000,Block Group 1,370630000000,105 - 370630020091,"105 - Tract: 002009, BG: 1",105 - 0020091,370630000000,1461,43,25,107,15,1.30298,33.6,1972,1.3,1904,17.2,1.8,79,0.1,1.9,34.6,39.4,24.8,14.9,47550.00,16775.00,31.7,49.1,32,15.5,67.2,0,0,4.6,0,0,0,97.4,98,28,54.8,30.6,111,1.30298,0.00,12663.00,1.1,3.1,15.6
112,63,2009,2,370630000000,Block Group 2,370630000000,106 - 370630020092,"106 - Tract: 002009, BG: 2",106 - 0020092,370630000000,1712,22.7,44,95,31,0.6538,20.4,1971,4.8,1119,12.8,1.4,83.8,0,2,28.1,44.4,24.3,18.1,42788.00,20601.00,40.3,13.1,45.7000008,36.5,73.8,0,2.3,0,16.3,0,0,82.6,141,33,60.4,26.1,112,0.6538,0.00,3061.00,1.3,4,1.5
113,63,1603,3,370630000000,Block Group 3,370630000000,56 - 370630016033,"56 - Tract: 001603, BG: 3",56 - 0016033,370630000000,663,1.1,6,29,1,1.85067,12,1973,10.3,1227,5.4,77.8,12.6,2,2.3,37.6,50.1,17.9,21.3,63917.00,33392.00,12.3,46.8,30.7000008,54.2,84.4,0,0,5,0,0,0,5.6,26,0,64.7,13.7,113,1.85067,0.00,26174.00,0,0,0
114,63,2100,2,370630000000,Block Group 2,370630000000,148 - 370630021002,"148 - Tract: 002100, BG: 2",148 - 0021002,370630000000,65,0,0,2,0,33.80691,45.6,1979,0,2193,3.2,78.4,14.8,1.8,1.8,36.2,39.9,22.5,12.2,74817.00,21984.00,13.5,49.2,25.7999992,50.8,89.2,0,0,0.9,0,0,0,0,0,0,0,0,114,33.80691,0.00,33647.00,0,0,0
115,63,1604,2,370630000000,Block Group 2,370630000000,59 - 370630016042,"59 - Tract: 001604, BG: 2",59 - 0016042,370630000000,1029,3.8,3,12,0,2.76175,8.7,1981,1.7,2842,2.3,83.1,12.1,1.2,1.3,29.3,45.3,22.8,16.5,93377.00,39242.00,5.1,75.9,23.5,31.7,92.9,0,0,4.9,0,0,0,0,0,0,72.4,13.7,115,2.76175,0.00,327979.00,0,0,0
116,63,2013,1,370630000000,Block Group 1,370630000000,108 - 370630020131,"108 - Tract: 002013, BG: 1",108 - 0020131,370630000000,2470,7.1,0,46,2,0.62871,2.7,1980,4,1553,10.9,49.8,34.7,1.9,2.6,61.9,35.5,23.7,10.4,77652.00,35132.00,21,57.9,17.7999992,15.8,81,0,2.8,5.9,0,1.9,0,4.5,0,0,65.5,16.7,116,0.62871,0.00,198674.00,0.3,0.7,0.4
117,63,1705,2,370630000000,Block Group 2,370630000000,62 - 370630017052,"62 - Tract: 001705, BG: 2",62 - 0017052,370630000000,1201,22,7,73,9,1.27805,45.6,1970,2.1,1535,6.8,70.1,17.5,3.7,2,47.2,49.7,16.7,28.5,45117.00,46437.00,62.7,40.3,24.2999992,12.7,69.2,0,4.5,6.6,0,54.2,45.2,85.5,53,11,49.2,25.9,117,1.27805,7914194.00,364098.00,0.1,0.8,0.1
118,63,1801,5,370630000000,Block Group 5,370630000000,84 - 370630018015,"84 - Tract: 001801, BG: 5",84 - 0018015,370630000000,67,0,1,3,0,11.19956,51.4,1964,0,746,13,65.8,18.5,0.3,2.4,51.6,55.9,18.8,18.1,45990.00,26008.00,12.2,0,38.2000008,37.2,77.9,0,14.1,0,0,0,0,0,0,0,0,0,118,11.19956,2758.00,7777.00,0,0,0
119,63,1711,2,370630000000,Block Group 2,370630000000,78 - 370630017112,"78 - Tract: 001711, BG: 2",78 - 0017112,370630000000,4897,35.1,85,309,27,0.32997,14,1984,0,1616,29,14.8,52.7,1.2,2.3,61.6,32.2,28.2,3.8,33342.00,18177.00,94.2,20.8,0,17.7,90.5,0.8,0,0,9.4,9.4,0,100,53,23,49.5,28.2,119,0.32997,0.00,83067.00,0.8,0.4,1.2
